run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
1,faiss_hnsw,100,10000,50,8,0.04932069778442383,0.5625,10,10,0.0010874271392822266,0.5138
2,faiss_hnsw,100,10000,50,8,0.04926133155822754,0.0,10,10,0.00987386703491211,0.5127
3,faiss_hnsw,100,10000,50,8,0.03991818428039551,0.0,10,10,0.0006072521209716797,0.5178
1,faiss_hnsw,100,10000,50,12,0.046698808670043945,0.0,10,10,0.0007781982421875,0.6815
2,faiss_hnsw,100,10000,50,12,0.042916059494018555,0.0,10,10,0.000701904296875,0.6927
3,faiss_hnsw,100,10000,50,12,0.05233287811279297,0.0,10,10,0.0007836818695068359,0.6762
1,faiss_hnsw,100,10000,50,16,0.061792612075805664,0.0,10,10,0.0020895004272460938,0.7445
2,faiss_hnsw,100,10000,50,16,0.04711580276489258,0.0,10,10,0.0024394989013671875,0.7528
3,faiss_hnsw,100,10000,50,16,0.04983067512512207,0.0,10,10,0.0076978206634521484,0.7492
1,faiss_hnsw,100,10000,50,32,0.19658660888671875,0.0,10,10,0.0011725425720214844,0.903
2,faiss_hnsw,100,10000,50,32,0.18353056907653809,0.0,10,10,0.0011968612670898438,0.9034
3,faiss_hnsw,100,10000,50,32,0.1982572078704834,0.0,10,10,0.005438089370727539,0.9056
1,faiss_hnsw,100,10000,100,8,0.07680058479309082,0.0,10,10,0.0006237030029296875,0.6269
2,faiss_hnsw,100,10000,100,8,0.05967545509338379,0.0,10,10,0.0008227825164794922,0.6206
3,faiss_hnsw,100,10000,100,8,0.052346229553222656,0.0,10,10,0.000629425048828125,0.6328
1,faiss_hnsw,100,10000,100,12,0.07359862327575684,0.0,10,10,0.0008177757263183594,0.7877
2,faiss_hnsw,100,10000,100,12,0.07140040397644043,0.0,10,10,0.0007202625274658203,0.7968
3,faiss_hnsw,100,10000,100,12,0.09856534004211426,0.0,10,10,0.009925365447998047,0.7991
1,faiss_hnsw,100,10000,100,16,0.11163878440856934,0.0,10,10,0.007555961608886719,0.8641
2,faiss_hnsw,100,10000,100,16,0.10812997817993164,0.0,10,10,0.007841110229492188,0.8711
3,faiss_hnsw,100,10000,100,16,0.12481474876403809,0.0,10,10,0.007486581802368164,0.8672
1,faiss_hnsw,100,10000,100,32,0.11387324333190918,0.0,10,10,0.007805347442626953,0.9502
2,faiss_hnsw,100,10000,100,32,0.10312032699584961,0.0,10,10,0.001117706298828125,0.9489
3,faiss_hnsw,100,10000,100,32,0.07792091369628906,0.0,10,10,0.003543853759765625,0.9482
