run_count,model,vector_dimension,total_vectors,ef_construction,M,index_time,memory_used,num_queries_percent,K,query_time,recall_at_k
1,nmslib_hnsw,100,10000,50,8,0.04183793067932129,6.1875,10,10,0.017678499221801758,0.745
2,nmslib_hnsw,100,10000,50,8,0.03742504119873047,0.0,10,10,0.017096996307373047,0.7534
3,nmslib_hnsw,100,10000,50,8,0.04187345504760742,-0.5625,10,10,0.01701188087463379,0.7478
1,nmslib_hnsw,100,10000,50,12,0.04881429672241211,-0.5625,10,10,0.020501375198364258,0.8772
2,nmslib_hnsw,100,10000,50,12,0.0493006706237793,-0.5625,10,10,0.02060675621032715,0.8706
3,nmslib_hnsw,100,10000,50,12,0.048097848892211914,-0.56640625,10,10,0.021141529083251953,0.8632
1,nmslib_hnsw,100,10000,50,16,0.05794668197631836,-0.56640625,10,10,0.02394580841064453,0.9231
2,nmslib_hnsw,100,10000,50,16,0.05710411071777344,-0.56640625,10,10,0.023621559143066406,0.9209
3,nmslib_hnsw,100,10000,50,16,0.06023573875427246,-0.5625,10,10,0.0237276554107666,0.9228
1,nmslib_hnsw,100,10000,50,32,0.07776284217834473,-0.5625,10,10,0.030883312225341797,0.9685
2,nmslib_hnsw,100,10000,50,32,0.07718873023986816,0.0,10,10,0.03132772445678711,0.9695
3,nmslib_hnsw,100,10000,50,32,0.08254003524780273,-0.5625,10,10,0.03065776824951172,0.9614
1,nmslib_hnsw,100,10000,100,8,0.04991269111633301,-0.56640625,10,10,0.017362356185913086,0.8024
2,nmslib_hnsw,100,10000,100,8,0.04982256889343262,-0.56640625,10,10,0.01793980598449707,0.8043
3,nmslib_hnsw,100,10000,100,8,0.05044364929199219,-0.56640625,10,10,0.01742839813232422,0.7997
1,nmslib_hnsw,100,10000,100,12,0.06439971923828125,-0.56640625,10,10,0.022708654403686523,0.9107
2,nmslib_hnsw,100,10000,100,12,0.06570243835449219,-0.56640625,10,10,0.020932674407958984,0.9039
3,nmslib_hnsw,100,10000,100,12,0.06577110290527344,-0.56640625,10,10,0.021143674850463867,0.9036
1,nmslib_hnsw,100,10000,100,16,0.08045339584350586,-0.56640625,10,10,0.023930072784423828,0.9435
2,nmslib_hnsw,100,10000,100,16,0.08085918426513672,-0.56640625,10,10,0.024171113967895508,0.9458
3,nmslib_hnsw,100,10000,100,16,0.0794684886932373,-0.56640625,10,10,0.024204730987548828,0.9539
1,nmslib_hnsw,100,10000,100,32,0.10852313041687012,-0.56640625,10,10,0.03342556953430176,0.9855
2,nmslib_hnsw,100,10000,100,32,0.10434675216674805,-0.56640625,10,10,0.03352975845336914,0.9875
3,nmslib_hnsw,100,10000,100,32,0.10813164710998535,-0.56640625,10,10,0.03326749801635742,0.9857
1,nmslib_hnsw,100,10000,150,8,0.06190085411071777,-0.56640625,10,10,0.01717662811279297,0.8203
2,nmslib_hnsw,100,10000,150,8,0.07384419441223145,0.5625,10,10,0.01714944839477539,0.8181
3,nmslib_hnsw,100,10000,150,8,0.06608843803405762,-0.5625,10,10,0.017563343048095703,0.8271
1,nmslib_hnsw,100,10000,150,12,0.08114314079284668,-0.00390625,10,10,0.020847558975219727,0.9234
2,nmslib_hnsw,100,10000,150,12,0.08279299736022949,-0.56640625,10,10,0.02129840850830078,0.9229
3,nmslib_hnsw,100,10000,150,12,0.08129429817199707,-0.56640625,10,10,0.02054142951965332,0.9281
1,nmslib_hnsw,100,10000,150,16,0.09621429443359375,-0.5625,10,10,0.0242769718170166,0.9584
2,nmslib_hnsw,100,10000,150,16,0.09705567359924316,-0.56640625,10,10,0.02409505844116211,0.9607
3,nmslib_hnsw,100,10000,150,16,0.0956869125366211,-0.56640625,10,10,0.024728059768676758,0.9607
1,nmslib_hnsw,100,10000,150,32,0.12894582748413086,-0.56640625,10,10,0.03413534164428711,0.9903
2,nmslib_hnsw,100,10000,150,32,0.130540132522583,-0.5625,10,10,0.03381705284118652,0.9897
3,nmslib_hnsw,100,10000,150,32,0.12977170944213867,-0.56640625,10,10,0.037749290466308594,0.9877
1,nmslib_hnsw,100,10000,300,8,0.09353828430175781,-0.56640625,10,10,0.01784968376159668,0.8502
2,nmslib_hnsw,100,10000,300,8,0.1479964256286621,-0.56640625,10,10,0.021193742752075195,0.8463
3,nmslib_hnsw,100,10000,300,8,0.10136222839355469,0.55859375,10,10,0.017052650451660156,0.8564
1,nmslib_hnsw,100,10000,300,12,0.13318347930908203,0.0,10,10,0.02496814727783203,0.937
2,nmslib_hnsw,100,10000,300,12,0.1342759132385254,0.0,10,10,0.020877599716186523,0.9326
3,nmslib_hnsw,100,10000,300,12,0.1368558406829834,0.0,10,10,0.022428274154663086,0.9368
1,nmslib_hnsw,100,10000,300,16,0.14584565162658691,0.55859375,10,10,0.025710582733154297,0.9639
2,nmslib_hnsw,100,10000,300,16,0.15629339218139648,0.5625,10,10,0.024693727493286133,0.9612
3,nmslib_hnsw,100,10000,300,16,0.14296865463256836,0.0,10,10,0.024630069732666016,0.9649
